"Original_Variable","Dummy_Variable","Coefficient","Absolute_Impact"
"SAPS_7","SAPS_7",1.65442989938142,1.65442989938142
"SAPS_10","SAPS_10",1.64202124012718,1.64202124012718
"SAPS_9","SAPS_9",1.39778537664273,1.39778537664273
"SAS_CA14","SAS_CA14",0.883897144711563,0.883897144711563
"SAS_C7","SAS_C7",0.857650262110395,0.857650262110395
"MPATS4","MPATS4",0.758813311529595,0.758813311529595
"SAS_C1","SAS_C1",0.654896056694704,0.654896056694704
"MPATS13","MPATS13",0.634345828753923,0.634345828753923
"SAS_CA13","SAS_CA13",0.591004122824428,0.591004122824428
"SAS_CA12","SAS_CA12",0.552201849630177,0.552201849630177
"SAPS_4","SAPS_4",0.493409988454399,0.493409988454399
"SAPS_5","SAPS_5",0.403271870530794,0.403271870530794
"MPATS3","MPATS3",0.356019569892513,0.356019569892513
"SAPS_1","SAPS_1",0.34580031791973,0.34580031791973
"MPAS_2","MPAS_2",0.3431102908299,0.3431102908299
"SAS_C10","SAS_C10",0.293323190869512,0.293323190869512
"grade","grade11th",0.285354522680587,0.285354522680587
"SAS_C4","SAS_C4",0.281846125159964,0.281846125159964
"grade","gradeF",0.268030339633644,0.268030339633644
"MPAS_3","MPAS_3",0.265976735088708,0.265976735088708
"MPATS6","MPATS6",0.244814125276968,0.244814125276968
"SAS_CA10","SAS_CA10",0.201228302062289,0.201228302062289
"SAS_C3","SAS_C3",0.180073734313323,0.180073734313323
"MPATS2","MPATS2",0.168180042951047,0.168180042951047
"MPATS9","MPATS9",0.152738710594618,0.152738710594618
"SAS_CA8","SAS_CA8",0.140658080312537,0.140658080312537
"MPAS_1","MPAS_1",0.135478032720799,0.135478032720799
"MPAS_11","MPAS_11",0.121230118928468,0.121230118928468
"SAS_CA11","SAS_CA11",0.102898612347766,0.102898612347766
"MPAS_9","MPAS_9",-0.0789124890145667,0.0789124890145667
"SAS_CA6","SAS_CA6",0.0752234049586153,0.0752234049586153
"NMP_14","NMP_14",0.0412857395975971,0.0412857395975971
"SAPS_3","SAPS_3",0.0397036336453132,0.0397036336453132
"MPATS5","MPATS5",0.00777020028163346,0.00777020028163346
