"Original_Variable","Dummy_Variable","Coefficient"
"SAPS_10","SAPS_10",1.82327631828843
"SAPS_7","SAPS_7",1.65213262314374
"SAPS_9","SAPS_9",1.52300655982282
"SAS_CA14","SAS_CA14",0.828138314617958
"MPATS4","MPATS4",0.815664623271213
"grade","gradeF",0.771421122600601
"SAS_C7","SAS_C7",0.749569461442396
"SAS_C1","SAS_C1",0.668872124765537
"grade","gradeSen",-0.646769495576452
"SAS_CA12","SAS_CA12",0.638600975722276
"SAPS_4","SAPS_4",0.62774297950569
"MPATS13","MPATS13",0.627384202933457
"SAS_CA13","SAS_CA13",0.609986073799893
"grade","grade11th",0.576627681183941
"grade","grade8th",0.500645660984426
"grade","gradeJ",-0.49975776478969
"grade","gradeM2",-0.480840925237913
"MPATS6","MPATS6",0.446049600645858
"SAPS_1","SAPS_1",0.445386782216917
"grade","gradeSph",-0.420582016797423
"SAPS_5","SAPS_5",0.408592087734194
"MPATS2","MPATS2",0.394910487747278
"MPATS3","MPATS3",0.372715548146388
"MPATS16","MPATS16",-0.34685281933166
"MPAS_9","MPAS_9",-0.321751455715636
"MPAS_11","MPAS_11",0.316014279894275
"MPAS_3","MPAS_3",0.288010393550803
"SAPS_6","SAPS_6",-0.274401235849877
"SAS_C10","SAS_C10",0.270862026331008
"SAS_C4","SAS_C4",0.269650959298214
"MPAS_2","MPAS_2",0.269230200086294
"SAS_C3","SAS_C3",0.259826418527942
"MPAS_1","MPAS_1",0.252268978619975
"MPAS_6","MPAS_6",-0.251154800128622
"MPATS9","MPATS9",0.249556371749546
"SAS_CA10","SAS_CA10",0.188654389419873
"gender","gender1",0.186529797934254
"MPATS11","MPATS11",-0.173655032440392
"NMP_14","NMP_14",0.165422788306791
"NMP_1","NMP_1",-0.163227704208978
"SAPS_3","SAPS_3",0.146667314631931
"SAS_CA8","SAS_CA8",0.137971742284769
"SAS_CA6","SAS_CA6",0.137683449546136
"grade","gradeDoc",-0.115624299611041
"MPATS5","MPATS5",0.098305073459721
"NMP_2","NMP_2",0.0930273889481034
"NMP_6","NMP_6",0.0879567190047925
"NMP_5","NMP_5",-0.0877646216101707
"MPAS_10","MPAS_10",0.0868371088304924
"MPAS_7","MPAS_7",-0.0754782449218542
"SAS_C6","SAS_C6",0.0732104165578044
"MPAS_5","MPAS_5",-0.0711474698472273
"SAS_CA11","SAS_CA11",0.0691701977803569
"MPAS_4","MPAS_4",0.0533618345737649
"SAS_CA1","SAS_CA1",-0.0483453439733546
"MPAS_8","MPAS_8",-0.0481110644703827
"SAS_CA4","SAS_CA4",0.033838985523035
"NMP_15","NMP_15",0.0311039003889417
"SAPS_2","SAPS_2",0.0286098079980331
"grade","gradeM1",0.0124575124875179
"gender","gender2",-1.67649611551029e-13
