"Original_Variable","Dummy_Variable","Coefficient"
"SAPS_10","SAPS_10",1.89416723757607
"SAPS_9","SAPS_9",1.63839193587211
"SAPS_7","SAPS_7",1.6376355288711
"grade","grade8th",1.47396410231127
"grade","grade10th",-1.40533476900376
"grade","gradeSen",-0.938735009977035
"grade","gradeF",0.902058242479731
"MPATS4","MPATS4",0.894868526733845
"grade","gradeM2",-0.888175905962128
"SAS_CA14","SAS_CA14",0.797507685437907
"grade","gradeJ",-0.761343280416911
"SAS_C7","SAS_C7",0.71581790789562
"SAS_C1","SAS_C1",0.693448622705788
"SAS_CA12","SAS_CA12",0.671379441452668
"grade","grade11th",0.663632414971791
"SAPS_4","SAPS_4",0.662705522820849
"SAS_CA13","SAS_CA13",0.629720004062952
"MPATS13","MPATS13",0.61966123161937
"grade","gradeSph",-0.616345820914633
"MPATS6","MPATS6",0.57046225625219
"MPATS16","MPATS16",-0.534229685420306
"MPATS2","MPATS2",0.498585534463278
"SAPS_1","SAPS_1",0.488459840567431
"MPAS_6","MPAS_6",-0.402300379400859
"MPAS_11","MPAS_11",0.395979791066823
"SAPS_5","SAPS_5",0.390825082206187
"SAPS_6","SAPS_6",-0.381348431066499
"MPATS3","MPATS3",0.369586785967192
"MPAS_9","MPAS_9",-0.369349081101784
"grade","gradeDoc",-0.351291479928155
"MPAS_1","MPAS_1",0.325745798807185
"SAS_C10","SAS_C10",0.308978544548912
"SAS_C3","SAS_C3",0.29751827547249
"SAS_CA1","SAS_CA1",-0.291138795416683
"gender","gender2",-0.285572807338111
"NMP_1","NMP_1",-0.281275132805714
"MPAS_3","MPAS_3",0.275146107467991
"MPATS9","MPATS9",0.270536399807337
"grade","gradeM3",-0.266063016967015
"SAS_C4","SAS_C4",0.260861340255229
"MPATS11","MPATS11",-0.258703345076239
"MPAS_2","MPAS_2",0.214149302510693
"grade","gradeM1",0.205427099622723
"SAS_C6","SAS_C6",0.202693985559062
"MPAS_5","MPAS_5",-0.196780124299268
"NMP_14","NMP_14",0.193132763119555
"SAPS_3","SAPS_3",0.18660579411374
"MPAS_4","MPAS_4",0.186160132253955
"NMP_2","NMP_2",0.178646457375721
"MPAS_10","MPAS_10",0.171293025395986
"SAS_CA6","SAS_CA6",0.166241550367824
"SAS_CA10","SAS_CA10",0.162166508958223
"SAS_CA8","SAS_CA8",0.154018849569833
"NMP_5","NMP_5",-0.145837947442287
"MPAS_7","MPAS_7",-0.143512187648744
"MPATS5","MPATS5",0.135511453861174
"NMP_6","NMP_6",0.13357044162952
"MPAS_8","MPAS_8",-0.1229923701769
"SAS_CA4","SAS_CA4",0.107490576493786
"SAPS_2","SAPS_2",0.092569233299803
"NMP_15","NMP_15",0.0823117786258769
"SAS_CA11","SAS_CA11",0.0439038376734542
