"Original_Variable","Dummy_Variable","Coefficient"
"SAPS_7","SAPS_7",1.59809981473862
"SAPS_10","SAPS_10",1.58424627628356
"SAPS_9","SAPS_9",1.24900418365771
"SAS_CA14","SAS_CA14",0.909211351930235
"MPATS4","MPATS4",0.869303778582036
"SAS_C7","SAS_C7",0.838227351495407
"MPATS13","MPATS13",0.669019698061915
"SAS_C1","SAS_C1",0.637320887815302
"SAS_CA13","SAS_CA13",0.558991959108049
"SAS_CA12","SAS_CA12",0.483537168396672
"SAPS_4","SAPS_4",0.413294627494627
"SAPS_5","SAPS_5",0.349070550171297
"SAS_C10","SAS_C10",0.309652033904656
"SAS_C4","SAS_C4",0.281802858875875
"MPATS6","MPATS6",0.244272576113429
"MPATS3","MPATS3",0.239704496694194
"MPAS_2","MPAS_2",0.225973426673312
"MPAS_3","MPAS_3",0.218946400217016
"SAS_CA10","SAS_CA10",0.165181073252215
"SAS_CA8","SAS_CA8",0.160143180282644
"SAS_CA6","SAS_CA6",0.159605398645628
"SAS_CA11","SAS_CA11",0.146900343024466
"SAPS_1","SAPS_1",0.114249797771956
"SAS_C3","SAS_C3",0.106667222967764
"MPAS_1","MPAS_1",0.073008964667299
"MPAS_11","MPAS_11",0.0581812375640359
"MPATS9","MPATS9",0.0506822864515892
"MPATS2","MPATS2",0.0474301889402877
