"Original_Variable","Dummy_Variable","Coefficient"
"SAPS_10","SAPS_10",1.41742629992379
"SAPS_7","SAPS_7",1.33782403360819
"MPATS4","MPATS4",1.05484975212752
"SAS_CA14","SAS_CA14",0.975309329494089
"SAPS_9","SAPS_9",0.756010200512322
"MPATS13","MPATS13",0.680233581150767
"SAS_C7","SAS_C7",0.664354701798316
"SAS_C1","SAS_C1",0.529212927676048
"SAS_CA13","SAS_CA13",0.460961137799569
"SAS_CA12","SAS_CA12",0.328065054605919
"SAS_CA11","SAS_CA11",0.299016858505727
"SAS_C4","SAS_C4",0.233048664759904
"MPATS6","MPATS6",0.199536865437656
"SAS_C10","SAS_C10",0.168732643931845
"SAPS_4","SAPS_4",0.162753443382576
"SAS_CA8","SAS_CA8",0.137815368690241
"SAPS_5","SAPS_5",0.123738365229874
"SAS_CA6","SAS_CA6",0.103328117389814
"SAS_CA10","SAS_CA10",0.00268592856968152
