"Original_Variable","Dummy_Variable","Coefficient"
"SAPS_10","SAPS_10",1.50038523933861
"SAPS_7","SAPS_7",1.45611434215172
"MPATS4","MPATS4",1.00936556133686
"SAPS_9","SAPS_9",0.972758028898891
"SAS_CA14","SAS_CA14",0.956976409253803
"SAS_C7","SAS_C7",0.753572728084809
"MPATS13","MPATS13",0.705567136772647
"SAS_C1","SAS_C1",0.58093444458025
"SAS_CA13","SAS_CA13",0.502502976818193
"SAS_CA12","SAS_CA12",0.393055417046297
"SAS_C10","SAS_C10",0.272593762616768
"SAPS_4","SAPS_4",0.269675042681222
"SAS_C4","SAS_C4",0.260307100904078
"MPATS6","MPATS6",0.229819897070091
"SAS_CA11","SAS_CA11",0.229630332590374
"SAPS_5","SAPS_5",0.226972084624722
"SAS_CA6","SAS_CA6",0.166136342457722
"SAS_CA8","SAS_CA8",0.153221837325325
"MPAS_3","MPAS_3",0.102891862848423
"SAS_CA10","SAS_CA10",0.0909911485068755
"SAS_C3","SAS_C3",0.0316580302282341
"MPATS3","MPATS3",0.0123557730250116
